英文名,数字
HeroEquipGemListRequest,1102591
StageListRequest,715134
TaskFinishRequest,409189
TaskFinishRequest  ,409189
BagItemListRequest,406925
FateInfoRequest,406350
ShopItemAutoSellInfoRequest,313941
HeroEquipEnhanceRequest,276106
HeroLvUpRequest,222975
ChapterListRequest,211204
HeroEquipListRequest,209023
HeroAttrRequest,208990
SkillListRequset,208990
PveBeginRequest,204906
BattleRewardRequest,142455
GuideSaveRequest,136909
SkillLvUpRequest,120061
ShopItemInitRequest,98131
HeroEquipGemDealRequest,97468
StageSweepRequest,93511
HeroEquipUpgradeRequest,85112
HeroListRequest,76214
HeroFormationRequest,72906
GameEnterRequest,68030
TaskListRequest,67805
TaskListRequest  ,67805
ActivityBaseListRequest,67802
FateAbilityUpRequest,57430
RedPointRequest,50754
RewardReceiveRequest,49095
MailListRequest,48835
TotalSignInfoRequest,48587
TotalSignInfoRequest  ,48587
SignInfoRequest,48581
BlessRequest,43283
LoginNoticeRequest,42598
ShopItemBuyRequest,41030
InitDogKingInfoRequest,38855
ItemCombineRequest,38458
RankListRequest,33620
PvpBeginRequest,30650
HeroFormationSaveRequest,29917
BlessInfoRequest,28712
PvpAsyncFinishRequest,27554
MailDetailRequest,25537
InitHellBreakInfoRequest,23105
HeroStarRequest,20730
HellBreakLayerAwardInfoRequest,20649
MailGetAttachmentRequest,19645
SignActionRequest,19456
ActivityDetailRequest,18627
SpaceTimeFinishRequest,18082
HeroQlyRequest,16371
ShopItemSellRequest,14996
PvpAsyncInfoRequest,14140
DogKingFightFinishRequest,12398
LoginBigGiftGetAwardRequest,12172
SignTotalAwardRequest,11805
HeroSummonRequest,9094
BuyCopperRequest,8728
MailDeleteRequest,8648
ReconnectRequest,8190
InitSpaceTimeInfoRequest,8037
FateAbilityActiveRequest,5620
CdKeyExchangeRequest,5165
ShopItemRefreshRequest,4853
BuyEnergyRequest,3907
SweepRequest,3273
SweepRequest  ,3273
ChangePicRequest,3128
SpaceTimeResetRequest,2580
RenameRequest,2515
DogKingSweepRequest,2385
StageRewardLotteryRequest,2214
ItemSellRequest,1962
HellBreakRoundResetRequest,1361
GetHellBreakFirstAwardRequest,1280
ReGenderRequest,1012
ChatSend,951
PrayRequest,581
BuySpaceTimeResetTimesRequest,231
PvpAsyncResetRequest,120
ItemUseBatchRequest,3
